Bandit,Reward,Algorithm
3,3.379636277464448,Epsilon-Greedy
3,3.4527201636624785,Epsilon-Greedy
3,2.771945980876376,Epsilon-Greedy
3,3.3734758173114563,Epsilon-Greedy
3,1.8078699437580212,Epsilon-Greedy
3,4.851402092378828,Epsilon-Greedy
3,3.0120641542034585,Epsilon-Greedy
3,3.0277314522759284,Epsilon-Greedy
3,4.0794824518175385,Epsilon-Greedy
3,3.189494153020781,Epsilon-Greedy
3,3.095458116212929,Epsilon-Greedy
3,2.9387373670534096,Epsilon-Greedy
3,3.3456266538869843,Epsilon-Greedy
3,4.218222732531096,Epsilon-Greedy
3,4.91056412237108,Epsilon-Greedy
3,3.1260258805149035,Epsilon-Greedy
3,3.996704079672646,Epsilon-Greedy
3,3.559495441126475,Epsilon-Greedy
3,5.58203818296378,Epsilon-Greedy
3,5.3957319359285645,Epsilon-Greedy
3,2.6903507099881017,Epsilon-Greedy
3,4.027690931616212,Epsilon-Greedy
3,4.127365478537156,Epsilon-Greedy
3,3.541890097168624,Epsilon-Greedy
3,3.3740070697455997,Epsilon-Greedy
3,3.171416228981265,Epsilon-Greedy
3,3.454830800668156,Epsilon-Greedy
3,1.4972404783377846,Epsilon-Greedy
3,4.684642201555168,Epsilon-Greedy
3,4.390253268983142,Epsilon-Greedy
3,3.9150911675041677,Epsilon-Greedy
3,3.275998203395701,Epsilon-Greedy
3,3.4674196977795955,Epsilon-Greedy
3,6.043320489682306,Epsilon-Greedy
3,5.619612155437311,Epsilon-Greedy
3,3.435442996730425,Epsilon-Greedy
3,2.9979532763712657,Epsilon-Greedy
3,3.541380723057001,Epsilon-Greedy
3,3.693283600678183,Epsilon-Greedy
3,2.8608582714101174,Epsilon-Greedy
3,4.2677426657032616,Epsilon-Greedy
3,3.8514485949929504,Epsilon-Greedy
3,3.5925398623647347,Epsilon-Greedy
3,3.3980313211036153,Epsilon-Greedy
3,4.76025109463536,Epsilon-Greedy
3,3.276660917548766,Epsilon-Greedy
3,6.433848078402416,Epsilon-Greedy
3,4.169729284390374,Epsilon-Greedy
3,4.08939391914565,Epsilon-Greedy
3,4.488044079378749,Epsilon-Greedy
3,5.580134095075202,Epsilon-Greedy
3,3.4054839472757505,Epsilon-Greedy
3,4.588328518460642,Epsilon-Greedy
3,4.543483152963778,Epsilon-Greedy
3,5.034920927080599,Epsilon-Greedy
3,3.729796681322462,Epsilon-Greedy
3,4.947616937661409,Epsilon-Greedy
3,3.3235869795159614,Epsilon-Greedy
3,1.769670092374111,Epsilon-Greedy
3,2.419748063256473,Epsilon-Greedy
3,4.0160534186439305,Epsilon-Greedy
3,4.892410819815211,Epsilon-Greedy
3,4.095620445889392,Epsilon-Greedy
3,4.165194380120577,Epsilon-Greedy
3,4.568936674469642,Epsilon-Greedy
3,4.509378116336106,Epsilon-Greedy
3,5.247327055231724,Epsilon-Greedy
3,3.5126049760788525,Epsilon-Greedy
3,4.403820558679305,Epsilon-Greedy
3,5.509771312459623,Epsilon-Greedy
3,4.402034480046922,Epsilon-Greedy
3,5.286974963849594,Epsilon-Greedy
3,3.55536244175436,Epsilon-Greedy
3,4.9638503187153615,Epsilon-Greedy
3,4.973557447520124,Epsilon-Greedy
3,2.367781920571481,Epsilon-Greedy
3,4.2809643209182,Epsilon-Greedy
3,4.170594203580864,Epsilon-Greedy
3,4.835565398349904,Epsilon-Greedy
3,4.180530841805432,Epsilon-Greedy
3,6.6435715833985505,Epsilon-Greedy
3,5.782163618536079,Epsilon-Greedy
3,4.5902746190617885,Epsilon-Greedy
3,4.250243932573649,Epsilon-Greedy
3,2.860245571843294,Epsilon-Greedy
3,4.183883351905157,Epsilon-Greedy
3,4.100095442579699,Epsilon-Greedy
3,6.538691101737486,Epsilon-Greedy
3,4.523952667107793,Epsilon-Greedy
3,5.070996467205255,Epsilon-Greedy
3,3.4171993985870026,Epsilon-Greedy
3,4.852246489030268,Epsilon-Greedy
3,1.6792626260218695,Epsilon-Greedy
3,5.2701255465757155,Epsilon-Greedy
3,3.1815257829576087,Epsilon-Greedy
3,2.874580992253111,Epsilon-Greedy
3,3.85096333327047,Epsilon-Greedy
3,4.804439110110865,Epsilon-Greedy
3,3.842786106635549,Epsilon-Greedy
3,2.982807829454609,Epsilon-Greedy
3,4.516669308648122,Epsilon-Greedy
3,3.200889429174735,Epsilon-Greedy
3,3.8354643419503036,Epsilon-Greedy
3,3.322433787266293,Epsilon-Greedy
3,4.149286563472478,Epsilon-Greedy
3,3.8851559805169766,Epsilon-Greedy
3,4.155036623595518,Epsilon-Greedy
3,6.569926839690334,Epsilon-Greedy
3,2.8928955453999787,Epsilon-Greedy
3,5.388582269040288,Epsilon-Greedy
3,1.3406486429506272,Epsilon-Greedy
3,2.822471634725064,Epsilon-Greedy
3,4.20370179813885,Epsilon-Greedy
3,3.8501220332375383,Epsilon-Greedy
3,4.527764760931661,Epsilon-Greedy
3,3.6381090287669964,Epsilon-Greedy
3,3.9304101770869897,Epsilon-Greedy
3,3.910778824406331,Epsilon-Greedy
3,4.029983634527158,Epsilon-Greedy
3,4.098745777637335,Epsilon-Greedy
3,3.8696548540127917,Epsilon-Greedy
3,3.6493184721212124,Epsilon-Greedy
3,3.770783948446408,Epsilon-Greedy
3,4.234652005155086,Epsilon-Greedy
3,4.252755507537886,Epsilon-Greedy
3,3.342766681882506,Epsilon-Greedy
3,3.062644317776679,Epsilon-Greedy
3,2.3302208279316,Epsilon-Greedy
3,5.764686934262719,Epsilon-Greedy
3,2.7584987690508775,Epsilon-Greedy
3,3.183694590945154,Epsilon-Greedy
3,4.756351569287381,Epsilon-Greedy
3,2.5869756546582225,Epsilon-Greedy
3,2.2465305837493372,Epsilon-Greedy
3,3.455077765041091,Epsilon-Greedy
3,4.971822690172735,Epsilon-Greedy
3,3.9690417493634267,Epsilon-Greedy
3,6.155239538433073,Epsilon-Greedy
3,4.672257284413773,Epsilon-Greedy
3,2.711552620242675,Epsilon-Greedy
3,4.100817422254052,Epsilon-Greedy
3,2.370407014023673,Epsilon-Greedy
3,4.551863655309501,Epsilon-Greedy
3,3.530852279805065,Epsilon-Greedy
3,4.52693741263179,Epsilon-Greedy
3,5.6205334451658775,Epsilon-Greedy
3,5.570494635261139,Epsilon-Greedy
3,3.8418985099298015,Epsilon-Greedy
3,4.806593247913686,Epsilon-Greedy
3,3.651986913703161,Epsilon-Greedy
3,4.198558362896292,Epsilon-Greedy
3,2.4759847582729697,Epsilon-Greedy
