Bandit,Reward,Algorithm
3,3.2189740104964937,Thompson Sampling
3,3.185160639480947,Thompson Sampling
3,3.8000166890800893,Thompson Sampling
3,3.5554510953552585,Thompson Sampling
3,3.7632035030283473,Thompson Sampling
3,2.987032695681806,Thompson Sampling
3,2.059370220187596,Thompson Sampling
3,4.309103611720267,Thompson Sampling
3,4.123649413101262,Thompson Sampling
3,4.347488801153429,Thompson Sampling
3,4.758537459528362,Thompson Sampling
3,3.542544506825219,Thompson Sampling
3,4.8584934082914195,Thompson Sampling
3,3.439014260168001,Thompson Sampling
3,3.0155761457863353,Thompson Sampling
3,4.451777761762845,Thompson Sampling
3,5.600357609265556,Thompson Sampling
3,4.290984110868951,Thompson Sampling
3,4.299317724812364,Thompson Sampling
3,5.368086011396362,Thompson Sampling
3,4.260062981949489,Thompson Sampling
3,4.37887074035494,Thompson Sampling
3,4.2335549826629375,Thompson Sampling
3,3.9955336190631896,Thompson Sampling
3,3.5866395922314283,Thompson Sampling
3,4.982819991830052,Thompson Sampling
3,5.36676650026833,Thompson Sampling
3,5.064022090259662,Thompson Sampling
3,3.7522016528115865,Thompson Sampling
3,5.127287648066145,Thompson Sampling
3,4.594499750344796,Thompson Sampling
3,3.6255059389461604,Thompson Sampling
3,4.474618771800844,Thompson Sampling
3,4.904252756227442,Thompson Sampling
3,3.0266059313376568,Thompson Sampling
3,4.937537628841938,Thompson Sampling
3,4.068285107942908,Thompson Sampling
3,4.317912404002454,Thompson Sampling
3,2.9289072675460437,Thompson Sampling
3,3.4051506737387247,Thompson Sampling
3,3.197150364495133,Thompson Sampling
3,3.8675645089999744,Thompson Sampling
3,4.779573497123876,Thompson Sampling
3,3.474954851716036,Thompson Sampling
3,6.031458022765609,Thompson Sampling
3,4.519526644086518,Thompson Sampling
3,3.346782494688398,Thompson Sampling
3,4.032797127597475,Thompson Sampling
3,5.375800364711619,Thompson Sampling
3,1.381430689475946,Thompson Sampling
3,4.496052372382804,Thompson Sampling
3,3.391276254235258,Thompson Sampling
3,4.184923523393333,Thompson Sampling
3,4.790555483733232,Thompson Sampling
3,4.97523355106398,Thompson Sampling
3,4.688065933741265,Thompson Sampling
3,4.169479062839601,Thompson Sampling
3,3.8127003737896215,Thompson Sampling
3,5.317725871529438,Thompson Sampling
3,4.434218242417439,Thompson Sampling
3,3.660070715259616,Thompson Sampling
3,3.0944293368919906,Thompson Sampling
3,2.9945836490238156,Thompson Sampling
3,2.416481425563525,Thompson Sampling
3,4.983506832286231,Thompson Sampling
3,4.098651972006879,Thompson Sampling
3,4.155370339137746,Thompson Sampling
3,3.7010827700094375,Thompson Sampling
3,4.411782889317223,Thompson Sampling
3,3.5827005487628796,Thompson Sampling
3,3.558328192015217,Thompson Sampling
3,2.781131021065508,Thompson Sampling
3,3.9586392557018173,Thompson Sampling
3,3.0848554801817314,Thompson Sampling
3,4.18051531034799,Thompson Sampling
3,2.844714937693836,Thompson Sampling
3,2.9803530153109463,Thompson Sampling
3,4.470023742640654,Thompson Sampling
3,3.160765149083404,Thompson Sampling
